X_Fe	X_Si	X_Ni	X_V	X_FeO	X_SiO2	X_NiO	X_Mg	X_V2O3	g (m/s)	P (GPa)	T (K)	Planet radius (km)	Impactor size (km)	Magma ocean depth (km)	ln(fO2)_IW	FeO wt\% in impactor
0.8555303289651589	0.0015623391681642666	0.14290664372451914	6.881421576051531e-07	0.05669556336192193	0.41871368618372384	0.0002813339811714596	0.5242795920479276	0.00011929770102076626	0.01724227266496012	0.0027217015470406996	1854.0131860364108	100000.0	20000.0	52811.43171159597	-5.4280511687173085	6.2172
0.8546417091506033	0.003088118135727626	0.14226880641463746	1.3662990316260439e-06	0.05729137723972319	0.4181019871662035	0.0005233431554983017	0.5240535766971615	0.00011886296565471997	0.017311518184843225	0.0027427381813286997	1854.015296185604	100280.8308203243	20056.16616406486	53002.254263356466	-5.405064399120005	6.2172
0.853706599703421	0.004556641512296033	0.14173473464069358	2.0241435894228497e-06	0.057885195170524414	0.41751549252274806	0.0007328271721438337	0.523836874324327	0.00011844324102704162	0.017381072677000137	0.0027637081001887177	1854.0173996218527	100561.32383765634	20112.26476753127	53191.69821342919	-5.382251838691466	6.2172
0.8527347605649704	0.0059740703417916685	0.14128850560207262	2.6634911652559556e-06	0.05847577730612353	0.4169514852768454	0.0009147471438192415	0.52362848099008	0.00011803713252737598	0.017450935054751284	0.002784734612923448	1854.0195087139973	100842.12688418022	20168.425376836043	53379.97694872089	-5.359671889725757	6.2172
0.851734315547877	0.007345506885276213	0.14091689169086133	3.2858759854005066e-06	0.05906209920882785	0.41640771431766077	0.0010732107101374233	0.5234275648970773	0.00011764346518664388	0.017521105579796213	0.0028058286358968805	1854.0216245568336	101123.29817949126	20224.659635898253	53567.266946096264	-5.337370445276449	6.2172
0.8507120491709017	0.008675216042158153	0.1406088421833818	3.892603558340322e-06	0.059643318850008294	0.41588229626903755	0.0012116394414098826	0.5232334301292475	0.00011726124118738316	0.0175915846352703	0.0028269993304871088	1854.0237480690814	101404.88599863453	20280.977199726905	53753.71548525102	-5.315383134618004	6.2172
0.8496736444084538	0.00996679283242678	0.14035507796671332	4.484792406006939e-06	0.06021874792729254	0.4153736414448575	0.0013328989347931625	0.5230454892914103	0.00011688960658579032	0.017662372705282845	0.0028482544715827127	1854.025880030354	101686.93077140371	20337.386154280743	53939.44648691847	-5.293737193615575	6.2172
0.8486238732162625	0.011223291444478777	0.14014777193209904	5.063407159549766e-06	0.060787827713396726	0.41488039695611884	0.0014394008874757942	0.5228632424867097	0.00011652782519565148	0.017733470358756824	0.0028696007263305555	1854.0280211091247	101969.46666758308	20393.893333516615	54124.56501227541	-5.272452995996824	6.2172
0.8475667502456385	0.012447325669670417	0.13998029479968158	5.629285009422453e-06	0.06135010875145082	0.4144014025421665	0.0015331838961040384	0.5226862609958008	0.00011617525791099832	0.01780487823652009	0.0028910438689445377	1854.030171884276	102252.52281580007	20450.504563160015	54309.1607656279	-5.251545307419489	6.2172
0.8465056576237011	0.013641147880998112	0.13984701133832242	6.183156978394245e-06	0.06190523381228941	0.41393565591734205	0.0016159779617081703	0.5225141744721084	0.00011583134620810747	0.01787659704089929	0.0029125889479096425	1854.0323328618756	102536.12425023469	20507.224850046936	54493.310849500434	-5.23102431256097	6.2172
