X_Fe	X_Si	X_Ni	X_V	X_FeO	X_SiO2	X_NiO	X_Mg	X_V2O3	g (m/s)	P (GPa)	T (K)	Planet radius (km)	Impactor size (km)	Magma ocean depth (km)	ln(fO2)_IW
0.8555350722841556	0.0015308991942178387	0.14293357118872987	4.5733289671395915e-07	0.056307905002880035	0.4188492809224057	0.00029435084469720733	0.5245281989417332	8.105715313535129e-05	0.017300227721092628	0.002694943716631174	1854.0105019734674	100000.0	20000.0	52122.31612631674	-5.441784309733418
0.8546138927865685	0.003075136530980954	0.14231004901901295	9.216634376293907e-07	0.05649414174397937	0.41837333585061565	0.000544516950498638	0.5245678236256449	8.072731704575543e-05	0.017369705990339445	0.0027160479199489504	1854.0126189270738	100282.40947435044	20056.48189487009	52312.92071978001	-5.433025665453942
0.8536318815692178	0.004571596921987059	0.1417951474940634	1.3740147316934304e-06	0.056688683818858186	0.4179187099480954	0.0007592084505654809	0.5246132959497258	8.040733102121545e-05	0.017439497559809572	0.0027369331597173452	1854.014713895799	100563.65477224611	20112.730954449224	52502.30612229468	-5.42385087586319
0.8526000804745764	0.006026066862376963	0.14137203708595186	1.815577094794195e-06	0.05688967399955426	0.41748273568150834	0.0009439127161696239	0.5246636535442096	8.009623423249366e-05	0.01750959961217585	0.002757883076751806	1854.0168153314805	100845.2494075822	20169.04988151644	52690.6805047039	-5.414353500673781
0.8515277051211175	0.007443295911909388	0.14102675162104142	2.2473459317260274e-06	0.05709555250769603	0.4170632231325126	0.0011031665975298934	0.5247181094562678	7.979322397483942e-05	0.01758001249105972	0.002778908464305394	1854.018924316556	101127.2515222504	20225.45030445008	52878.2148502439	-5.404611624639329
0.8504224809763525	0.008827217470030058	0.14074763139476948	2.6701588479299246e-06	0.05730500877880073	0.4166583574986057	0.0012407448335426704	0.5247760144829382	7.949762445065464e-05	0.0176507366618056	0.0028000183364041	1854.0210417549529	101409.70903265163	20281.941806530325	53065.05085147051	-5.394690458604915
0.8492909108871752	0.010181114055530523	0.14052489033218615	3.0847251081066197e-06	0.05751694062236014	0.4162666224933056	0.001359805647738143	0.5248368290209908	7.920886242145595e-05	0.01772177269036303	0.0028212203069769466	1854.0231684101282	101692.66182200254	20338.532364400508	53251.306829585956	-5.384644509821329
0.8481384881316879	0.011507743997003309	0.14035027622246335	3.4916488453297544e-06	0.057730420565826356	0.415886741779847	0.0014630045001288619	0.5249001015421455	7.892644820857763e-05	0.01779312122667743	0.0028425208736934555	1854.0253049335404	101976.14337982843	20395.228675965685	53437.08227355676	-5.374519359679368
0.8469698673833728	0.012809439726165092	0.14021680144296644	3.89144749569091e-06	0.057944668081835786	0.41551763364196714	0.0015525838542061795	0.524965451931809	7.864996072745978e-05	0.017864782991455438	0.002863925635540925	1854.027451886483	102260.18205628374	20452.036411256748	53622.46136306967	-5.364353123419245
0.8457890029605529	0.014088184862595598	0.14011852761028612	4.2845665653377715e-06	0.05815902659103772	0.4151583755164726	0.0016304446821227747	0.5250325584514695	7.837903558946473e-05	0.017936758765514718	0.0028854394616475427	1854.0296097570185	102544.80203349871	20508.96040669974	53807.51573234575	-5.354177653346276
0.844599261407432	0.015345675308494629	0.14005039189252796	4.671391545438187e-06	0.058372944363119975	0.4148081759464473	0.0016982039236207993	0.5251011474279208	7.811335556498834e-05	0.018009049381137232	0.0029070666237003993	1854.0317789732658	102830.0240859645	20566.0048171929	53992.30666137547	-5.344019533957419
0.8434035138189377	0.016583368097930557	0.1400080658255296	5.052257602063783e-06	0.058585958580422884	0.41446635220435696	0.0017572410283366302	0.5251709850261644	7.785264287592391e-05	0.018081655714992376	0.0029288109009278423	1854.0339599139293	103115.86618211787	20623.173236423572	54176.88682861508	-5.333900908711838
0.8422042120058644	0.01780252082139031	0.1399878397152415	5.427457503838157e-06	0.05879768200346754	0.41413231227235897	0.0018087359372902026	0.5252418706236522	7.759665292413202e-05	0.018154578682303562	0.002950675664077044	1854.0361529167292	103402.34396454145	20680.46879290829	54361.30172601619	-5.323840168983723
0.841003451718216	0.019004223666034076	0.13998652736759784	5.797248152026995e-06	0.05900779175764575	0.41380554022845467	0.0018537002852395664	0.5253136314363719	7.734516915269189e-05	0.018227819232008235	0.0029726639432354407	1854.0383582851994	103689.47113687592	20737.89422737518	54545.59080950799	-5.313852530783629
0.8398030253910953	0.020189425657901907	0.14000138709501456	6.161855988324704e-06	0.059216019877940285	0.4134855843028914	0.0018930031929993301	0.5253861181264664	7.709799881036112e-05	0.018301378342719336	0.002994778482995881	1854.0405762942269	103977.25977778558	20795.451955557117	54729.788441680306	-5.30395051885675
0.8386044663636335	0.02135895629445184	0.14003005586041803	6.521481496660223e-06	0.05942214530883159	0.4131720470534988	0.0019273927064990678	0.5254592011888103	7.685496944101776e-05	0.0183752570193377	0.0030170217876895602	1854.0428071945885	104265.72059772935	20853.14411954587	54913.92466923245	-5.2941443743238645
0.8374090861180679	0.022513543475540968	0.1400704941034225	6.876302968754006e-06	0.059625987111352155	0.41286457723887543	0.0019575137064587384	0.5255327679618238	7.661592595924631e-05	0.01844945629019751	0.0030393961587246087	1854.045051216695	104554.86315033589	20910.97263006718	55098.02586773033	-5.284442399039638
0.8362180057715745	0.02365382843778008	0.14012093931097552	7.226479670004454e-06	0.05982739867548931	0.41256286306293694	0.001983922936960509	0.5256067201425628	7.638072820155346e-05	0.01852397720465097	0.0030619037255853183	1854.0473085737021	104844.69600738985	20968.93920147797	55282.11527893219	-5.274851247369329
0.8350321827799673	0.02478037828145869	0.14017986678406852	7.572154505541008e-06	0.06002626278971674	0.41226662652067025	0.0020071016706497175	0.5256809717067458	7.61492488701887e-05	0.018598820831017094	0.003084546471697477	1854.0495794641079	105135.22690440841	21027.045380881682	55466.21346172872	-5.265376173487989
0.8338524336729164	0.025893696500471224	0.14024595637033382	7.91345627848419e-06	0.06022248742037212	0.4119756186540202	0.0020274664191126017	0.5257554471635456	7.592137179741108e-05	0.018673988254833695	0.0031073262561732624	1854.0518640739292	105426.46286260996	21085.29257252199	55650.33867146005	-5.256021241816503
0.8326794534720604	0.026994231860970747	0.14031806416535952	8.250501609303311e-06	0.060416002088260964	0.4116896155582894	0.0020453780193373902	0.5258300800864933	7.56969904749849e-05	0.018749480577363822	0.0031302448321327767	1854.0541625785443	105718.41029134399	21143.682058268798	55834.50718000162	-5.246789506526804
0.831513832286594	0.028082385953840782	0.14039519836299955	8.583396565652675e-06	0.060606754770438157	0.41140841499234354	0.0020611493690351535	0.5259048118664814	7.547600680724355e-05	0.018825298914315988	0.0031533038621911584	1854.056475144243	106011.07507438987	21202.215014877973	56018.73354818846	-5.237683164228085
0.8303560695741447	0.029158519583371314	0.14047649860442527	8.912238058935133e-06	0.0607947092217441	0.4111318335139955	0.002075052023661208	0.5259795906580875	7.525833004639113e-05	0.018901444394744924	0.0031765049316753485	1854.058801929555	106304.46264329657	21260.892528659315	56203.03085651193	-5.2287036849541755
0.8292065863822392	0.030222958234542775	0.14056121826818171	9.237115036435443e-06	0.06097984267775581	0.41085970403303573	0.002087321840661638	0.5260543704795756	7.504387588434e-05	0.018977918160105797	0.0031998495598343523	1854.0611430863737	106598.57803939606	21319.71560787921	56387.410902672505	-5.219851923857192
