X_Fe	X_Si	X_Ni	X_V	X_FeO	X_SiO2	X_NiO	X_Mg	X_V2O3	g (m/s)	P (GPa)	T (K)	Planet radius (km)	Impactor size (km)	Magma ocean depth (km)	ln(fO2)_IW	FeO wt\% in impactor
0.7422351282271444	0.1129598797114704	0.0284213129152172	0.00010207171751965698	0.06106731346838919	0.34576087681349854	0.02838537604484587	0.29696396219303595	0.0002717892292865057	0.017298922370252292	0.0018863182628835514	1853.929373225754	100000.0	20000.0	54124.84877230233	-5.0149886591165	0.0
0.7304192683419323	0.10900848220232152	0.04913852883698337	9.907988652440717e-05	0.06114608911784353	0.34545762594878315	0.04907639641733335	0.29698148702782184	0.00027076542447817376	0.017366110803809967	0.001973870054140446	1853.9381587213952	102310.43773006742	20462.087546013485	54303.501847122454	-4.980315624730525	0.02
0.7207193694018923	0.1057265149555102	0.06622588024840596	9.654066268079458e-05	0.06123723194202372	0.34515939663156553	0.06614214200306823	0.2970096373967663	0.00026977181891240336	0.01743778104474957	0.0019885584078638777	1853.9396326073434	102593.62754920895	20518.725509841788	54487.175862903045	-4.950598950428185	0.04
0.7126965290159043	0.10295094135285768	0.08048699046490693	9.435341228029475e-05	0.06134123934013402	0.3448738864890807	0.08038521998894246	0.29703905983392587	0.0002688072429454003	0.01750975457176311	0.0020035198610026473	1853.9411338866366	102880.89362657782	20576.178725315563	54672.326591500634	-4.924816697639974	0.06
0.7060464826921413	0.10058150841318973	0.09245218710084621	9.245141733251956e-05	0.06145617151044833	0.34459944388786556	0.09233528742512395	0.2970693635426658	0.00026786909059764544	0.01758203956328605	0.002018627119212186	1853.9426497857153	103170.44090991709	20634.088181983418	54858.34878304843	-4.902323639762336	0.08
0.7005256683139314	0.0985404222540236	0.1025408402246149	9.078227179718781e-05	0.06158036472661942	0.34433467536445633	0.10241118411428982	0.29710022261396996	0.0002669551299351621	0.017654640420063317	0.0020338592857865895	1853.9441782074641	103461.85489329377	20692.370978658753	55045.11562006624	-4.882585900191492	0.1
0.6959397914975569	0.09676713067575428	0.111084332751675	8.930481143521324e-05	0.06171241339111806	0.3440784216062146	0.11094387396012333	0.2971313686817228	0.00026606347358786736	0.01772756067078859	0.0020492128162491233	1853.9457187959572	103754.96196802463	20750.992393604924	55232.58149430801	-4.8651661147936505	0.12000000000000001
0.6921325426108325	0.0952140244456869	0.11834694492222497	8.798637688660959e-05	0.061851130109601075	0.34382971492057646	0.11819730303793902	0.2971625802213499	0.0002651925195925309	0.017800803479480647	0.0020646870905736106	1853.947271488717	104049.64449898791	20809.928899797582	55420.71751709365	-4.849704219644443	0.14
0.688977049560919	0.09384325956493104	0.1245415099402411	8.680079473116058e-05	0.06199550982294749	0.3435877430602493	0.12438403543820371	0.29719367363628696	0.0002643408999191748	0.017874371763244933	0.0020802820674012566	1853.9488362813283	104345.8082811096	20869.16165622192	55609.50069473874	-4.835902015796048	0.16
0.6863695028320318	0.09262445218062841	0.12984095440737825	8.572689827792704e-05	0.0621447000940941	0.3433518205037114	0.12967677910832198	0.29722449621551555	0.0002635074390184431	0.017948268241448344	0.0020959978940085756	1853.9504131883018	104643.37485727434	20928.674971454868	55798.911788348494	-4.823511171465077	0.18
0.684224358008127	0.0915329901386678	0.1343868861036514	8.47474315139198e-05	0.06229797668236708	0.343121365725994	0.13421696277463696	0.2972549205677536	0.00026269112062055804	0.01802249546874526	0.002111834833219497	1853.9520022357394	104942.27828119046	20988.455656238093	55988.93461280837	-4.812323863595676	0.19999999999999998
0.6824706802999964	0.0905487792025869	0.1382960688512079	8.38482259058508e-05	0.06245472339974482	0.3428958830816437	0.13812120261916586	0.2972848401876151	0.0002618910609936529	0.01809705586132996	0.0021277932423391216	1853.9536034592193	105242.4629676013	21048.49259352026	56179.555607902344	-4.802165411371486	0.21999999999999997
0.6810493255150624	0.0896552992454167	0.1416653674013558	8.301757408468191e-05	0.06261441541963368	0.3426749482450692	0.14148624091414538	0.2973141658936522	0.0002611064872551112	0.018171951718700455	0.0021438735613781824	1853.9552169026156	105543.8820141364	21108.77640282728	56370.76349140042	-4.792888424199098	0.23999999999999996
0.6799107414514258	0.08883888478605893	0.1445755691647296	8.224574763767624e-05	0.06277660538252873	0.3424581964185259	0.14439276291987263	0.2973428229442722	0.0002603367196646231	0.01824718524191959	0.002160076303677645	1853.956842617156	105846.49583520097	21169.299167040193	56562.548960272485	-4.78436811220362	0.25999999999999995
0.6790132361549562	0.08808816965551697	0.14709437060510316	8.152462190331337e-05	0.06294091177723705	0.3422453127161351	0.14690837950242053	0.2973707486863925	0.0002595811570790037	0.018322758549023554	0.0021764020477844314	1853.958480660608	106150.27103522347	21230.054207044694	56754.904430699884	-4.776498500838136	0.27999999999999997
