X_Fe	X_Si	X_Ni	X_V	X_FeO	X_SiO2	X_NiO	X_Mg	X_V2O3	g (m/s)	P (GPa)	T (K)	Planet radius (km)	Impactor size (km)	Magma ocean depth (km)	ln(fO2)_IW
0.8555487582433356	0.0015190879117425058	0.1429316987151667	4.55129755125125e-07	0.0567583549590184	0.41867907712621216	0.00029451701179649515	0.5242477818117562	8.107636486681945e-05	0.017300227721092628	0.002694943716631174	1854.0105019734674	100000.0	20000.0	52121.95004283201	-5.4258804321820335
0.8546558085203825	0.003039061661992749	0.14230421501368196	9.148039428480735e-07	0.057383775565739974	0.4180393587082897	0.000545263588953178	0.5240114103736622	8.076705342008805e-05	0.01736970599033944	0.0027160288436614568	1854.012617013549	100282.30782675803	20056.461565351605	52311.88331078301	-5.401874434061319
0.8537152881030657	0.004500260972876109	0.1417830906367942	1.3602872639201094e-06	0.05800704677040142	0.4174267429855944	0.000761039677378273	0.5237850533864603	8.046872066209288e-05	0.017439497348004374	0.0027368788508025437	1854.0147084481755	100563.36641056398	20112.673282112795	52500.33909242269	-5.3780665053981025
0.8527375803617703	0.005909239381522374	0.1413513873607832	1.7928959241438438e-06	0.05862677970543222	0.4168382052363984	0.0009473767813615335	0.5235675931993465	8.018030984512464e-05	0.01750959879935977	0.0027577796230159957	1854.0168049543367	100844.7019962663	20168.94039925326	52687.5496272257	-5.354520546437467
0.8517312643605339	0.007271385033375751	0.14099513687098067	2.2137351095598844e-06	0.05924183569401877	0.41627125727581066	0.0011088213799130963	0.5233581104161458	7.990093644669519e-05	0.017580010537083402	0.0027787430328591978	1854.0189077227722	101126.37913273962	20225.275826547924	52873.70558460924	-5.331286166661187
0.8507034531724917	0.008591172861974297	0.14070275022598105	2.623739552915931e-06	0.0598512866848562	0.415723830577612	0.0012491345664737742	0.5231558407076075	7.96298538024864e-05	0.01765073288886592	0.0027997789623554277	1854.0210177445133	101408.45093244797	20281.690186489595	53058.96504915859	-5.3084013378397215
0.849660063004604	0.00987235296492071	0.14046456032479823	3.023705677034992e-06	0.060454380852436575	0.41519418915974265	0.0013714457594385659	0.5229601426217888	7.936642637410852e-05	0.017721766293791675	0.0028208957351749477	1854.0231358542435	101690.96156733355	20338.19231346671	53243.46023914538	-5.2858945970072355
0.8486060271353635	0.011118094419284753	0.14027246412847577	3.41431687585379e-06	0.06105051384880769	0.4146808632595751	0.0014783722878869564	0.5227704730764939	7.911010894507951e-05	0.017793111283853705	0.0028421004395176616	1854.0252627626887	101973.94813066188	20394.789626132377	53427.3026373213	-5.263786835630911
0.847545467174493	0.01233109632843907	0.14011964033351731	3.796163550702222e-06	0.06163920483797939	0.414182598248206	0.0015721133235495081	0.5225863684826944	7.886043028272197e-05	0.017864768469302156	0.0028633991746652445	1854.0273990813562	102257.44205557383	20451.488411114766	53610.58695387715	-5.24209275225602
0.8464818311012442	0.013513674492165988	0.14000032464748455	4.169759105221195e-06	0.06222007652691929	0.4136983148493727	0.0016545243335412978	0.5224074300451172	7.861698019785002e-05	0.017936738526916574	0.002884797241398658	1854.0295453416365	102541.47020831125	20508.29404166225	53793.39422042897	-5.2208220327578365
0.8454180052859768	0.014667829704661661	0.1399096294565522	4.5355528094255e-06	0.06279283849947712	0.4132270778554181	0.001727176592729511	0.5222333122025727	7.837939921006749e-05	0.018009022190533883	0.0029062992906595275	1854.0317020097182	102826.05573988959	20565.21114797792	53975.794228982464	-5.1999803110316245
0.8443564059602501	0.015795302084355627	0.1398433980151824	4.89394021195505e-06	0.06335727328940431	0.41276807128906323	0.0017914051289109544	0.5220637134500633	7.814737023298375e-05	0.018081620243335483	0.0029279094407426397	1854.0338694983461	103111.2187560683	20622.24375121366	54157.84747274695	-5.179569952056867
