X_Fe	X_Si	X_Ni	X_V	X_FeO	X_SiO2	X_NiO	X_Mg	X_V2O3	g (m/s)	P (GPa)	T (K)	Planet radius (km)	Impactor size (km)	Magma ocean depth (km)	ln(fO2)_IW	FeO wt\% in impactor
0.8552217804305297	0.0013680625325628037	0.143409740415503	4.1662140462339194e-07	0.05628966170037766	0.4189560271083263	0.00013262592342598331	0.524601412120528	8.109258936810466e-05	0.017300227721092628	0.0001422658645548736	1853.7542883865603	100000.0	20000.0	52109.559276148306	-5.44169987620139	0.0
0.8540926496459411	0.0027187995073910784	0.14318772283519632	8.280114714677841e-07	0.05649932501916088	0.41855718467261654	0.00025703509503019825	0.5246662557635625	8.079779851985749e-05	0.01736970599033944	0.00014323553440256256	1853.7543857714722	100278.86681436453	20055.773362872907	52293.907961611716	-5.431621970866637	0.02
0.8529595523166424	0.004052727855660844	0.14298648555956264	1.234268133971151e-06	0.05670720908551535	0.41816649713098886	0.00037375629228272406	0.524732410518399	8.050789125590986e-05	0.017439490178147235	0.00014421181489881015	1853.7544838202532	100558.35726440368	20111.671452880735	52478.08569037698	-5.421621562397712	0.04
0.8518234025035721	0.00537029853543135	0.14280466346463172	1.6354963648238568e-06	0.05691326731780591	0.41778364738850565	0.00048328114614048655	0.5247997484644219	8.022273250381419e-05	0.017509581203662163	0.00014519475748838025	1853.7545825380687	100838.47967953495	20167.69593590699	52662.11485902517	-5.411701496611293	0.06
0.8506850521624524	0.006671939200196733	0.14264097684026666	2.031797084218521e-06	0.057117457246167194	0.41740833732404775	0.0005860684203634071	0.5248681514610166	7.994219362056294e-05	0.017579980003968102	0.00014618441298006385	1853.7546819300208	101119.24158883627	20223.848317767253	52846.01643324048	-5.401864335129317	0.08
0.8495452951619443	0.007958055620862513	0.14249422594986613	2.4232673270615496e-06	0.057319740410178094	0.4170402863867261	0.0006825463295436922	0.524937510335556	7.966615198460682e-05	0.017650687532456313	0.00014718083211043983	1853.7547820012041	101400.65013163566	20280.130026327133	53029.81005742425	-5.392112370627755	0.1
0.8484048710511772	0.009229033007638493	0.14236328594077283	2.8100004114143275e-06	0.05752008223481773	0.41667923031354115	0.0007731146832654781	0.5250077241457217	7.939449061555963e-05	0.017721704758048823	0.0001481840655754604	1853.7548827567089	101682.71208850277	20336.542417700555	53213.51415490693	-5.382447642089402	0.12000000000000001
0.8472644685601136	0.010485237270337379	0.142247102083451	3.192086098050995e-06	0.05771845190575192	0.4163249199440307	0.0008581468715581859	0.5250786995042032	7.912709782404752e-05	0.017793032664483146	0.00014919416405940808	1853.7549842016242	101965.43390950533	20393.086781901067	53397.14602064409	-5.372871949279701	0.14
0.8461247288861629	0.011727016183460115	0.1421446853196254	3.569610751644629e-06	0.057914822226830004	0.4159771201385197	0.0009379917023686447	0.5251503499655608	7.88638668838592e-05	0.01786467224965301	0.00015021117826188315	1853.7550863410418	102248.8217402715	20449.764348054297	53580.72190581774	-5.36338686716815	0.16
0.8449862487644101	0.012954700478491338	0.14205510809960142	3.942657497083863e-06	0.058109169471691625	0.4156356087840216	0.0010129751034034398	0.5252225954669514	7.860469572760496e-05	0.01793662452500087	0.00015123515892251035	1853.7551891800554	102532.88144571696	20506.57628914339	53764.25709557659	-5.353993759871419	0.18
0.843849583330127	0.014168604873429549	0.14197750049007338	4.31130637006983e-06	0.058301473234452963	0.4153001758778019	0.0010834016992158377	0.5252953618168633	7.834948666426422e-05	0.018008890514957587	0.00015226615684378313	1853.7552927237666	102817.61863179266	20563.523726358533	53947.765980688586	-5.344693793970126	0.19999999999999998
0.8427152487907719	0.015369029039784772	0.1419110465349816	4.675634461759612e-06	0.05849171627914834	0.41497062268327783	0.0011495562730881963	0.5253685802279563	7.809814611704659e-05	0.018081471256425487	0.0001533042229122781	1853.7553969772853	103103.03866547915	20620.60773309583	54131.2621235087	-5.335487951256952	0.21999999999999997
0.8415837249352286	0.01655625849530059	0.14185498085340842	5.035716062275594e-06	0.058679884381422756	0.41464676095830905	0.0012117051218779957	0.5254421868922958	7.785058437744638e-05	0.0181543677983013	0.00015434940811833911	1853.7555019457304	103389.14669315072	20677.829338630145	54314.75831822103	-5.32637704120932	0.23999999999999996
0.8404554574662891	0.017730565452775644	0.1418085854581404	5.39162279482175e-06	0.05886596617728953	0.41432841223923594	0.0012700973133810917	0.5255161225912488	7.760671537833207e-05	0.018227581201035802	0.00015540176357415524	1853.7556076342353	103675.94765730857	20735.189531461714	54498.266646692224	-5.317361712650857	0.25999999999999995
0.8393308601804329	0.018892209615102976	0.14177118678071843	5.743423745695993e-06	0.05904995301305901	0.4140154071809703	0.0013249658530978224	0.5255903323387524	7.736645648194733e-05	0.018301112536226967	0.0001564613405307128	1853.7557140479448	103963.4463120588	20792.68926241176	54681.79852989252	-5.308442464870187	0.27999999999999997
0.8382103170108877	0.020041438913996484	0.14174215288952613	6.09118558963883e-06	0.05923183879433168	0.4137075849507393	0.0013765287670480723	0.5256647650558104	7.712972828208931e-05	0.018374962886244166	0.00015752819039355405	1853.7558211920218	104251.64723733118	20850.329447466236	54865.364775056565	-5.299619658313338	0.3
0.8370941839322236	0.021178490207395193	0.14172089088767253	6.434972708935025e-06	0.05941161984070405	0.4134047926663672	0.0014249901076236432	0.5257393732717001	7.689645442009856e-05	0.018449133343880937	0.0001586023647373699	1853.755929071644	104540.55485189316	20908.11097037863	55048.975619319775	-5.290893524627227	0.32
0.8359827907352565	0.022303589938767854	0.14170684447866994	6.774847305662188e-06	0.059589294746795717	0.41310688487510466	0.0014705408883574486	0.5258141128493887	7.666656141405965e-05	0.0185236250120339	0.0001596839153196646	1853.7560376920082	104830.1734253661	20966.03468507322	55232.640770149876	-5.28226417606454	0.34
0.8348764427054857	0.02341695473522656	0.141699491689774	7.110869513803298e-06	0.0597648642371444	0.4128137230797876	0.001513359951671727	0.5258889427367721	7.643997849693134e-05	0.01859843900340591	0.00016077289409361175	1853.7561470583319	105120.50708933672	21024.101417867343	55416.36944197944	-5.273731614756077	0.36000000000000004
0.8337754221667243	0.024518791995244274	0.1416983427405322	7.443097499464032e-06	0.05993833103929133	0.41252517528975857	0.0015536147770656393	0.5259638247345172	7.621663746876785e-05	0.018673576440231616	0.00016186935321978863	1853.7562571758517	105411.55984740627	21082.311969481256	55600.17039092644	-5.265295740948341	0.38000000000000006
0.8326799899475695	0.025609300415824054	0.14170293804904452	7.771587561881216e-06	0.060109699749134944	0.41224111561465393	0.0015914622315647562	0.5260387232865075	7.599647255593772e-05	0.01874903845402337	0.0001629733450775455	1853.7563680498265	105703.33558469596	21140.667116939192	55784.0519460584	-5.256956361224044	0.4000000000000001
0.831590386729211	0.026688670511931772	0.14171284636463302	8.096394223967639e-06	0.06027897671375044	0.4119614238781907	0.001627049269274453	0.5261136052837138	7.577942028231926e-05	0.018824826185336305	0.00016408492227534883	1853.7564796855393	105995.83807639172	21199.167615278344	55968.02203912679	-5.248713195769469	0.4200000000000001
