X_Fe	X_Si	X_Ni	X_V	X_FeO	X_SiO2	X_NiO	X_V2O3	g (m/s)	P (GPa)	T (K)	Planet radius (km)	Impactor size (km)	Magma ocean depth (km)	ln(fO2)_IW
0.8553346539482886	0.0012749326811380957	0.14339001428669718	3.990838761013746e-07	0.05669130188747494	0.41882015173288845	0.00013460813988272333	8.112289195047152e-05	0.017300227721092628	0.0001422658645548736	1853.7542883865603	100000.0	20000.0	52106.51370773335	-5.427744014764102
0.8543261819412759	0.002525574437013927	0.14314745211603855	7.915056716466432e-07	0.05729494156184447	0.4182893694804148	0.0002612281549253878	8.085890380397525e-05	0.01736970599033944	0.0001432343260774875	1853.7543856501188	100278.02086877062	20055.604173754124	52287.68403419246	-5.404201454014029
0.8533212169445186	0.003752716266475509	0.1429248893702803	1.1774187257528143e-06	0.05788934807391344	0.4177705460055593	0.00038038046822299546	8.0600263806402e-05	0.01743948841556965	0.00014420931560259095	1853.7544835692465	100556.62467760583	20111.324935521166	52468.558293652975	-5.381205306493872
0.8523203698082918	0.004957073151779407	0.14272100005982322	1.5569801055102309e-06	0.05847467667791317	0.41726323845494273	0.0004925479734865728	8.03468040436905e-05	0.01750957583234807	0.0001451908857871463	1853.7545821492304	100835.82169664066	20167.164339328134	52649.16624722959	-5.358737387668337
0.851324199576028	0.006139325102179404	0.14253454498065649	1.9303411360596016e-06	0.05905107798238824	0.4167670293903413	0.0005981802830172658	8.009836475886839e-05	0.017579969098177696	0.0001461790885937505	1853.7546813952881	101115.62131132117	20223.124262264235	52829.535857171424	-5.336780442410887
0.850333217093462	0.007300119338060649	0.14236436592085233	2.2976476250348996e-06	0.059618698388330865	0.41628152491467135	0.0006976961657548811	7.985479384051823e-05	0.01765066909070278	0.00014717397583098872	1853.7547813126225	101396.03241892088	20279.206483784175	53009.69342332662	-5.315318073117522
0.8493478883954412	0.008440072308825779	0.1422093802556431	2.659040090015666e-06	0.06017768045988239	0.41580635296315105	0.0007914857955451561	7.9615946344695e-05	0.017721676706735055	0.00014817559919254406	1853.7548819064236	101677.06346723279	20335.412693446557	53189.663707741485	-5.29433467566633
0.8483686378430936	0.009559771596346056	0.1420685759065825	3.0146539778915157e-06	0.06072816325725757	0.4153411617278127	0.0008799128267009021	7.938168405245225e-05	0.01779299286135667	0.00014918401029295061	1853.7549831818746	101958.72248979258	20391.744497958516	53369.47004976214	-5.27381538144379
0.8473958510710348	0.010659777666972398	0.14194100664210876	3.364619884067579e-06	0.06127028261413141	0.4148856182216862	0.0009633163087767875	7.915187505620535e-05	0.01786461848709278	0.00015019926070080115	1853.7550851441533	102241.01713831522	20448.203427663044	53549.13447097789	-5.253746005564648
0.8464298777125995	0.011740625526925738	0.14182578769671292	3.709063761789709e-06	0.061804171389266464	0.414439406951821	0.0010420124555314521	7.892639337687903e-05	0.017936554533148612	0.00015122140196907916	1853.7551877984363	102523.95471218856	20504.79094243771	53728.67777235203	-5.234112999684072
0.8454710339601405	0.012802826244323181	0.14172209168840666	4.0481071295914375e-06	0.062329959673927765	0.41400222870916314	0.0011162962778241729	7.870511860559473e-05	0.018008801964705116	0.00015225048566342523	1853.7552911499015	102807.54218569167	20561.508437138335	53908.11962277168	-5.214903409685374
0.844519604931173	0.013846868387792022	0.14162914481376782	4.3818672671396845e-06	0.06284777498130774	0.41357379944825357	0.0011864430932774699	7.848793557248608e-05	0.01808136176226885	0.00015328656338797067	1853.7553952037301	103091.7862327456	20618.35724654912	54087.47864110283	-5.196104836909972
