X_Fe	X_Si	X_Ni	X_V	X_FeO	X_SiO2	X_NiO	X_Mg	X_V2O3	g (m/s)	P (GPa)	T (K)	Planet radius (km)	Impactor size (km)	Magma ocean depth (km)	ln(fO2)_IW	FeO wt\% in impactor
0.8562184952671287	0.0001608164530733537	0.14362061424057684	7.403922105322178e-08	0.056154528669055716	0.4192910526327397	1.6919920876571705e-05	0.5245075748075431	0.00011969587913967876	0.017300227721092628	1.7358217673036743e-05	1853.7417434136116	100000.0	10000.0	51947.72646862418	-5.448836528126871	6.2172
0.8560911746613968	0.0003210680587488492	0.1435876094338296	1.4784602477499464e-07	0.05623111858499915	0.41922301738968615	3.3695571160643245e-05	0.5244822569354887	0.00011964607466141179	0.017308927574264114	1.735479555551784e-05	1853.7417430699043	100034.82643411066	10000.0	51970.40988516645	-5.445813135579464	6.2172
0.8559640372033119	0.0004807650478097838	0.1435549763299362	2.2141894209163934e-07	0.05630748454560848	0.41915524796091147	5.032870248751493e-05	0.5244570396782298	0.00011959645105130202	0.01731762310899933	1.735137916612743e-05	1853.7417427267728	100069.62568979198	10000.0	51993.06493141059	-5.442801791834101	6.2172
0.8558370836909208	0.0006399105710406513	0.1435227109788987	2.947591398228051e-07	0.05638362744547039	0.419087742658531	6.682076667858531e-05	0.5244319223775034	0.00011954700726667663	0.017326314331748482	1.734796845952781e-05	1853.7417423842119	100104.3979005085	10000.0	52015.691731044484	-5.439802424792833	6.2172
0.8557103149036966	0.000798507752278411	0.14349080947624843	3.67867776586357e-07	0.05645954817412377	0.4190204998104038	8.317319850318357e-05	0.5244069043814009	0.0001194977422734218	0.017335001248945704	1.7344563413250724e-05	1853.7417420422194	100139.14313426352	10000.0	52038.290406711065	-5.436814962975076	6.2172
0.8555837316020338	0.0009565596894899989	0.1434592679624737	4.4074600254852877e-07	0.05653524761652104	0.41895351775961415	9.938741593622097e-05	0.5243819850441671	0.00011944865504605644	0.017343683867009144	1.7341164004993477e-05	1853.7417417007932	100173.86145866122	10000.0	52060.86108004647	-5.433839335493808	6.2172
0.8554573345283599	0.0011140694542373167	0.14342808262244297	5.133949598018025e-07	0.05661072665262242	0.41888679486463576	0.00011546482034747966	0.5243571637262525	0.00011939974456748929	0.017352362192341014	1.733777021261797e-05	1853.741741359931	100208.552940918	10000.0	52083.40387166449	-5.430875472066397	6.2172
0.8553311244064107	0.001271040092958188	0.14339724968484893	5.858157821538161e-07	0.05668598615796929	0.41882032949873005	0.00013140679676141084	0.5243324397940821	0.00011935100982906369	0.017361036231327617	1.7334382014146665e-05	1853.7417410196308	100243.21764785875	10000.0	52105.918901201316	-5.4279233029865575	6.2172
0.8552051019424443	0.0014274746263128507	0.14336676542164734	6.580095954239045e-07	0.056761027003218244	0.4187541200501623	0.0001472147140352041	0.5243078126201267	0.00011930244983036847	0.017369705990339445	1.7330999387760134e-05	1853.74174067989	100277.85564592996	10000.0	52128.40628729603	-5.424982759137703	6.2172
0.8550792678249123	0.0015833760500567919	0.14333662614751358	7.299775173672728e-07	0.05683585005449761	0.41868816492177435	0.00016288992509600142	0.5242832815827373	0.0001192540635792176	0.017378371475731205	1.732762231179982e-05	1853.7417403407069	100312.46700119492	10000.0	52150.866147621746	-5.422053771973699	6.2172
0.8549536227249576	0.0017387473350829658	0.1433068282193014	8.017206578885441e-07	0.056910456173318934	0.41862246253090885	0.00017843376714122148	0.5242588460661081	0.00011920585009148708	0.017387032693841883	1.732425076476247e-05	1853.7417400020788	100347.05177934308	10000.0	52173.298598889	-5.419136273517365	6.2172
0.8548281672963033	0.0018935914280649492	0.14327736803551278	8.732401188914658e-07	0.056984846216812435	0.41855701130908124	0.0001938475618606278	0.5242345054601479	0.00011915780839114836	0.017395689650994795	1.7320884725297604e-05	1853.741739664004	100381.61004569147	10000.0	52195.70375686932	-5.416230196346238	6.2172
0.8547029021761265	0.002047911251108947	0.14324824203576988	9.44536994645576e-07	0.05705902103743224	0.41849180970207	0.00020913261561468345	0.5242102591605057	0.00011910993751002861	0.01740434235349764	1.7317524172209524e-05	1853.7417393264805	100416.14186519201	10000.0	52218.08173638561	-5.413335473599357	6.2172
0.8545778279852824	0.0022017097020476366	0.1432194467002983	1.0156123717537924e-06	0.05713298148300787	0.41842685616973807	0.0002242902196364364	0.5241861065684957	0.00011906223648778711	0.01741299080764257	1.7314169084452474e-05	1853.7417389895056	100450.6473024294	10000.0	52240.43265132389	-5.410452038970412	6.2172
0.8544529453273948	0.002354989655856009	0.14319097854942023	1.0864673288984476e-06	0.05720672839739727	0.4183621491853814	0.0002393216502772559	0.524162047090851	0.00011901470437198477	0.017421635019706217	1.731081944113261e-05	1853.7417386530778	100485.12642162495	10000.0	52262.75661468231	-5.407579826677288	6.2172
0.8543282547905529	0.002507753963463249	0.14316283414304656	1.1571029373802592e-06	0.057280262619747016	0.4182976872361768	0.00025422816914172597	0.52413808013988	0.00011896734021777289	0.017430274995949766	1.730747522150011e-05	1853.7417383171942	100519.57928665087	10000.0	52285.05373853357	-5.404718771486588	6.2172
0.8542037569471729	0.0026600054523844455	0.1431350100801816	1.2275202611017177e-06	0.057353584984728735	0.4182334688228624	0.00026901102329535695	0.5241142051333415	0.00011892014308784974	0.01743891074261901	1.7304136404954933e-05	1853.741737981854	100554.00596102036	10000.0	52307.3241340478	-5.4018688086997	6.2172
0.8540794523535615	0.0028117469276469596	0.1431075029984351	1.2977203563362937e-06	0.057426696322933624	0.41816949245929647	0.0002836714454821125	0.5240904214942746	0.00011887311205253481	0.01744754226594438	1.730080297103964e-05	1853.741737647054	100588.40650789457	10000.0	52329.5679115252	-5.399029874132781	6.2172
0.8539553415508074	0.0029629811713825487	0.1430803095735379	1.367704272065948e-06	0.05749959746055507	0.4181057566725779	0.00029821065428352334	0.5240667286510361	0.00011882624618955188	0.017456169572141023	1.7297474899442125e-05	1853.7417373127928	100622.78099009229	10000.0	52351.78518038429	-5.39620190412479	6.2172
0.8538314250649908	0.0031137109430933326	0.14305342651886588	1.4374730500515831e-06	0.057572289219433095	0.418042260002884	0.00031262985430337113	0.5240431260372336	0.00011877954458394785	0.017464792667408843	1.7294152169989917e-05	1853.7417369790678	100657.1294700872	10000.0	52373.976049172525	-5.3933848355313385	6.2172
0.8537077034069287	0.0032639389803758917	0.14302685058497056	1.5070277247061046e-06	0.05764477241734425	0.41797900100311697	0.0003269302363691905	0.5240196130915875	0.0001187330063281138	0.017473411557932562	1.7290834762651356e-05	1853.7417366458774	100691.45201001142	10000.0	52396.140625592096	-5.390578605709015	6.2172
0.8535841770727468	0.0034136679988142743	0.14300057855911563	1.57636932327732e-06	0.05771704786784924	0.4179159782389	0.0003411129776962699	0.523996189257924	0.00011868663052165086	0.01748202624988176	1.728752265753524e-05	1853.74173631322	100725.74867166323	10000.0	52418.279016498156	-5.3877831525171125	6.2172
0.8534608465444317	0.003562900691882252	0.14297460726482003	1.6454988660258073e-06	0.05778911638014733	0.41785319028857043	0.00035517924204948447	0.5239728539851649	0.00011864041627123915	0.01749063674941092	1.7284215834884314e-05	1853.7417359810927	100760.01951650716	10000.0	52440.391327897174	-5.384998414319092	6.2172
0.8533377122893746	0.0037116397318521705	0.14294893356140706	1.7144173660793263e-06	0.057860978759468086	0.4177906357427508	0.00036913017994541215	0.5239496067271631	0.00011859436269066484	0.017499243062659507	1.728091427508103e-05	1853.7417356494939	100794.26460567406	10000.0	52462.47766497888	-5.382224329963146	6.2172
0.8532147747609283	0.0038598877696819833	0.14292355434356008	1.7831258296010632e-06	0.05793263580691981	0.4177283132043499	0.0003829669288087383	0.5239264469426963	0.0001185484689006962	0.01750784519575201	1.7277617958638746e-05	1853.741735318422	100828.48399997051	10000.0	52484.538132114074	-5.379460838784043	6.2172
0.853092034398872	0.004007647434987788	0.14289846654088412	1.8516252559467541e-06	0.05800408831938538	0.41766622128852865	0.00039669061312988123	0.5239033740954488	0.00011850273402896394	0.017516443154797962	1.72743268662051e-05	1853.7417349878745	100862.67775987877	10000.0	52506.57283285537	-5.376707880603159	6.2172
